"D";"Klassifikation af sygdomme"
"DA90";"Dengue feber"
"DA909";"Dengue feber"
"DA91";"Dengue feber m blødninger"
"DA919";"Dengue feber m blødninger"
"DA92";"Viral feber overført af myg, anden"
"DA922";"Venezuelansk equin encephalitis"
"DA929";"Viral feber overført af myg, anden"
"DA93";"Viral feber overført af leddyr, ikke klassificeret andetste"
"DA931";"Sandfly fever"
"DA938";"Viral feber overført af leddyr, anden specificeret"
"DA94";"Viral feber overført af leddyr uden specifikation"
"DA949";"Viral feber uden specifikation overført af leddyr"
"DA95";"Gul feber"
"DA959";"Gul feber"
"DA96";"Arenaviral feber m blødninger"
"DA962";"Febris Lassa"
"DA968";"Arenaviral feber m blødninger, anden"
"DA969";"Arenaviral feber m blødninger uden specifikation"
"DA98";"Viral feber m blødninger, anden"
"DA980";"Krim-Congo hæmorrhagisk feber"
"DA983";"Marburg virus sygdom"
"DA984";"Ebola virus sygdom"
"DA985";"Febris haemorrhagica m renalt syndrom"
"DA985A";"Febris haemorrhagica epidemica"
"DA985B";"Hantaan virus sygdom"
"DA985C";"Nephropathia epidemica"
"DA988";"Viral feber m blødninger, anden specificeret"
"DA99";"Viral feber m blødninger uden specifikation"
"DA999";"Viral feber m blødninger uden specifikation"
"DB00";"Herpes simplex infektion"
"DB000";"Herpes eksem"
"DB000A";"Eruptio varicelliformis Kaposi"
"DB001";"Herpesudbrud m blærer"
"DB001A";"Herpes simplex facialis"
"DB001B";"Herpes simplex labialis"
"DB002";"Gingivostomatitis et pharyngotonsillitis herpetica"
"DB002A";"Gingivostomatitis herpetica"
"DB002B";"Pharyngostomatitis herpetica"
"DB003";"Meningitis herpetica"
"DB004";"Encephalitis herpetica"
"DB004A";"Meningoencephalitis herpetica"
"DB005";"Morbus oculi herpeticus uden specifikation"
"DB005A";"Blepharitis herpetica"
"DB005B";"Herpes conjunctivitis"
"DB005C";"Herpes iridocyclitis"
"DB005D";"Herpes keratitis"
"DB005E";"Herpes keratoconjunctivitis"
"DB005F";"Iritis herpetica"
"DB005G";"Uveitis anterior herpetica"
"DB007";"Herpes generalisata"
"DB008";"Herpesvirus, andre infektioner forårsaget af"
"DB009";"Infektion m herpesvirus uden specifikation"
"DB01";"Skoldkopper"
"DB010";"Meningitis forårsaget af varicellae"
"DB011";"Encephalitis forårsaget af varicellae"
"DB011A";"Encephalomyelitis med varicellae"
"DB012";"Pneumonia forårsaget af varicellae"
"DB018";"Skoldkopper m andre komplikationer"
"DB019";"Skoldkopper uden specifikation"
"DB02";"Helvedesild"
"DB020";"Herpes zoster encephalitis"
"DB020A";"Herpes zoster meningoencephalitis"
"DB021";"Herpes zoster meningitis"
"DB022";"Herpes zoster m anden komplikation i nervesystemet"
"DB022A";"Herpes zoster neuralgia nervi trigemini"
"DB022B";"Herpes zoster polyneuritis"
"DB023";"Herpes zoster i øjet"
"DB023A";"Herpes zoster blepharitis"
"DB023B";"Herpes zoster conjunctivitis"
"DB023C";"Herpes zoster iridocyclitis"
"DB023D";"Herpes zoster iritis"
"DB023E";"Herpes zoster keratitis"
"DB023F";"Herpes zoster keratoconjunctivitis"
"DB023G";"Herpes zoster scleritis"
"DB027";"Herpes zoster disseminata"
"DB028";"Herpes zoster m andre komplikationer"
"DB029";"Herpes zoster u komplikation"
"DB03";"Kopper"
"DB039";"Kopper"
"DB04";"Monkeypox"
"DB049";"Monkeypox"
"DB05";"Mæslinger"
"DB050";"Morbilli encephalitis"
"DB051";"Morbilli meningitis"
"DB052";"Morbilli m pneumoni"
"DB053";"Morbilli m otitis media"
"DB054";"Morbilli m tarmsymptomer"
"DB058";"Mæslinger m andre komplikationer"
"DB058A";"Keratitis ved morbilli"
"DB058B";"Keratoconjunctivitis ved morbilli"
"DB059";"Mæslinger uden specifikation"
"DB06";"Røde hunde"
"DB060";"Rubella m neurologiske komplikationer"
"DB060A";"Rubella encephalitis"
"DB060B";"Rubella meningitis"
"DB060C";"Rubella meningoencephalitis"
"DB068";"Rubella m andre komplikationer"
"DB068A";"Rubella pneumonia"
"DB069";"Rubella u komplikationer"
"DB07";"Virale vorter"
"DB079";"Verrucae virales"
"DB079A";"Verruca plana juvenilis"
"DB079B";"Verrucae vulgaris"
"DB079C";"Verruca plantaris"
"DB079D";"Epidermodysplasia verruciformis"
"DB08";"Virusinfek karakt ved hud- og slimhaffek ikke klass ansted"
"DB080";"Orthopox virusinfektioner, andre"
"DB080A";"Milkers nodule"
"DB080B";"Orf"
"DB081";"Molluscum contagiosum"
"DB082";"Exanthema subitum"
"DB083";"Erythema infectiosum"
"DB084";"'Hand, foot and mouth disease'"
"DB084A";"Stomatitis vesicularis enteroviralis med exanthem"
"DB085";"Pharyngitis vesicularis enteroviralis (herpangina)"
"DB088";"Andre specificerede virale enantemer og eksantemer"
"DB088A";"Mund og klovsyge"
"DB088B";"Pharyngitis enteroviralis lymphonodularis"
"DB088C";"Viralt eksantem"
"DB09";"Virusinfek, ikke spec, karakt ved hud- og slimhindeaffek"
"DB099";"Virusinfek, ikke spec, karakt ved hud- og slimhindeaffek"
"DB15";"Akut Leverbetændelse A"
"DB150";"Hepatitis A m coma hepaticum"
"DB159";"Hepatitis A u coma hepaticum"
"DB159A";"Hepatitis A"
"DB16";"Akut leverbetændelse B"
"DB160";"Hepatitis B acuta m coinfek m Delta agens og coma hepaticum"
"DB161";"Hepatitis B acuta m coinfek m Delta agens u coma hepaticum"
"DB162";"Hepatitis B acuta u Delta agens m coma hepaticum"
"DB169";"Hepatitis B acuta viralis uden specifikation"
"DB17";"Leverbetændelse, anden akut viral"
"DB170";"Akut Delta (super)infektion af hepatitis B bærer"
"DB171";"Hepatitis C acuta"
"DB172";"Hepatitis E acuta"
"DB178";"Viral hepatitis, anden specificeret acut"
"DB18";"Kronisk viral leverbetændelse"
"DB180";"Hepatitis B viralis chronica m Delta agens"
"DB181";"Hepatitis B viralis chronica u Delta agens"
"DB182";"Hepatitis C viralis chronica"
"DB188";"Hepatitis viralis chronica alia"
"DB189";"Hepatitis viralis chronica uden specifikation"
"DB19";"Viral leverbetændelse uden specifikation"
"DB190";"Hepatitis viralis uden specifikation m coma hepaticum"
"DB199";"Hepatitis viralis uden specifikation u coma hepaticum"
"DB20";"HIV sygdom medførende infektiøse og parasitære sygdomme"
"DB200";"HIV medførende mykobakteriel infektion"
"DB200A";"HIV med tuberkulose"
"DB201";"HIV medførende andre bakterielle sygdomme"
"DB202";"HIV medførende cytomegalvirus sygdom"
"DB203";"HIV medførende andre virus infektioner"
"DB204";"HIV medførende candidiasis"
"DB205";"HIV medførende andre svampeinfektioner"
"DB206";"HIV medførende Pneumocystis carinii lungebetændelse"
"DB207";"HIV medførende multiple infektioner"
"DB208";"HIV medførende andre infektiøse og parasitære sygdomme"
"DB209";"HIV medførende infek eller parasitær sygdom uden specif"
"DB21";"HIV infek medførende ondartet svulst"
"DB210";"AIDS medførende Kaposi's sarkom"
"DB210A";"HIV-infektion med Kaposi sarkom"
"DB211";"AIDS medførende Burkitt's lymfom"
"DB212";"AIDS medførende andre typer af non-Hodgkin's lymfom"
"DB213";"AIDS medførende anden ondartet svulst i lymf og bloddan væv"
"DB217";"AIDS medførende multiple ondartede svulster"
"DB218";"AIDS medførende andre ondartede svulster"
"DB219";"AIDS medførende ondartet svulst uden specifikation"
"DB22";"AIDS medførende andre specificerede sygdomme"
"DB220";"AIDS medførende encephalopati"
"DB220A";"Demens ved AIDS"
"DB221";"AIDS medførende lymfoid interstitiel pneumonitis"
"DB222";"AIDS medførende ""wasting syndrome"""
"DB227";"AIDS medførende andre sygdomme klassificeret andetsteds"
"DB23";"AIDS medførende andre tilstande"
"DB230";"HIV sygdom, akut"
"DB231";"HIV m persisterende generaliseret lymfesvulst"
"DB232";"HIV medf forandr i blod og immunsystem ikke klass ansted"
"DB238";"HIV og AIDS kompl m andre specificerede tilstande"
"DB238A";"HIV associeret lipodystrofisyndrom (HALS)"
"DB24";"HIV sygdom og AIDS uden specifikation"
"DB249";"AIDS uden specifikation"
"DB25";"Cytomegalovirus sygdom"
"DB250";"Pneumonitis cytomegaloviralis"
"DB251";"Hepatitis cytomegaloviralis"
"DB252";"Pancreatitis cytomegaloviralis"
"DB253";"Chorioretinitis cytomegaloviralis"
"DB257";"Retinitis cytomegaloviralis"
"DB258";"Cytomegalovirus, anden sygdom forårsaget af"
"DB259";"Sygdom forårsaget af cytomegalovirus uden specifikation"
"DB26";"Fåresyge"
"DB260";"Orchitis forårsaget af parotitis epidemica"
"DB261";"Meningitis forårsaget af parotitis epidemica"
"DB262";"Encephalitis forårsaget af parotitis epidemica"
"DB263";"Pancreatitis forårsaget af parotitis epidemica"
"DB268";"Parotitis epidemica m andre komplikationer"
"DB269";"Parotitis epidemica u komplikationer"
"DB27";"Mononukleose"
"DB270";"Mononucleosis forårsaget af EB virus (gammaherpesvirus)"
"DB271";"Mononucleosis cytomegaloviralis"
"DB278";"Mononucleosis infectiosa alia"
"DB279";"Mononucleosis infectiosa uden specifikation"
"DB30";"Virusbetinget betændelse i øjets bindehinde"
"DB300";"Keratoconjunctivitis adenoviralis"
"DB301";"Conjunctivitis adenoviralis"
"DB301A";"Conjunctivitis adenoviralis follicularis acuta"
"DB301B";"Svømmebassin-conjunctivitis"
"DB302";"Pharyngoconjunctivitis viralis"
"DB303";"Conjunctivitis epidemica haemorrhagica acuta"
"DB303A";"Conjunctivitis Coxsackie typus 24"
"DB303B";"Conjunctivitis enteroviralis typus 70"
"DB308";"Conjunctivitis viralis alia"
"DB309";"Conjunctivitis viralis uden specifikation"
"DB33";"Virussygdomme, andre som ikke kan klassificeres ansted"
"DB330";"Myalgia epidemica"
"DB331";"Ross River disease"
"DB332";"Carditis viralis"
"DB333";"Retrovirus infektion ikke klassificeret andetsteds"
"DB338";"Virussygdom, anden specificeret"
"DB34";"Virussygdom uden specifikation lokalisation"
"DB340";"Adenoviral infektion uden specifikation"
"DB341";"Enteroviral infektion uden specifikation"
"DB341A";"Coxsackievirus infektion uden specifikation"
"DB341B";"Echovirus infektion uden specifikation"
"DB342";"Coronavirus infektion uden specifikation"
"DB343";"Parvovirus infektion uden specifikation"
"DB344";"Papovavirus infektion uden specifikation"
"DB348";"Virusinfektion, anden uden specifikation lokalisation"
"DB349";"Virusinfektion uden specifikation"
"DB349A";"Viræmi"
"DB35";"Hudsvamp"
"DB350";"Tinea barbae et tinea capitis"
"DB350A";"Tinea capitis"
"DB350B";"Tinea barbae"
"DB350C";"Kerion"
"DB351";"Tinea unguinis"
"DB352";"Tinea manus"
"DB353";"Tinea pedis"
"DB354";"Tinea corporis"
"DB355";"Tinea imbricata (tokelau)"
"DB356";"Tinea extremitatis inferioris"
"DB356A";"Tinea cruris"
"DB358";"Dermatophytosis alia"
"DB358A";"Dermatophytosis disseminata"
"DB358B";"Favus"
"DB359";"Dermatophytosis uden specifikation"
"DB36";"Svampeinfek, andre overfladiske"
"DB360";"Pityriasis versicolor"
"DB360A";"Tinea flava"
"DB360B";"Tinea versicolor"
"DB361";"Tinea nigra"
"DB362";"Tinea blanca"
"DB363";"Sort piedra"
"DB368";"Mycoses superficiales aliae specificatae"
"DB368A";"Pityrosporum folliculitis"
"DB369";"Mycosis superficialis uden specifikation"
"DB37";"Infek m Candida albicans"
"DB370";"Candidiasis oris"
"DB370A";"Trøske"
"DB371";"Candidiasis pulmonis"
"DB372";"Candidiasis cutis et unguinis"
"DB372A";"Candidiasis cutis"
"DB372B";"Candidiasis unguinis"
"DB372C";"Erosio interdigitalis blastomycetica"
"DB373";"Candidiasis vulvae et vaginae"
"DB373A";"Candidiasis vaginae"
"DB373B";"Candidiasis vulvae"
"DB374";"Candidiasis urogenitalis alia"
"DB374A";"Candidiasis urethrae"
"DB375";"Candidiasis meningum"
"DB376";"Candidiasis endocardii"
"DB377";"Septikæmi forårsaget af infektion m Candida albicans"
"DB378";"Candidiasis alia"
"DB378A";"Candida cheilitis"
"DB378B";"Candidiasis intestini"
"DB378C";"Candidiasis oesophagi"
"DB379";"Candidiasis uden specifikation"
"DB38";"Kokcidioidomykose"
"DB389";"Coccidioidomycosis uden specifikation"
"DB39";"Histoplasmose"
"DB399";"Histoplasmosis uden specifikation"
"DB40";"Blastomykose"
"DB409";"Blastomycosis uden specifikation"
"DB41";"Parakokcidioidomykose"
"DB419";"Paracoccidioidomycosis uden specifikation"
"DB42";"Sporotrikose"
"DB429";"Sporotrichosis uden specifikation"
"DB43";"Kromomykose og fæomykotisk absces"
"DB439";"Chromomycosis et abscessus phaeomycoticus"
"DB439A";"Abscessus phaeomycoticus"
"DB44";"Infektion m Aspergillus"
"DB440";"Aspergillosis invasiva pulmonis"
"DB441";"Aspergillosis pulmonis alia"
"DB441A";"Aspergilloma pulmonis"
"DB441B";"Aspergillus tracheobronchitis"
"DB442";"Aspergillosis tonsillaris"
"DB447";"Aspergillosis disseminata"
"DB448";"Aspergillosis m anden lokalisation"
"DB448A";"Kolonisering med aspergillus"
"DB449";"Aspergillosis uden specifikation"
"DB45";"Infektion m kryptokokker"
"DB450";"Cryptococcosis pulmonis uden specifikation"
"DB451";"Cryptococcosis cerebri"
"DB451A";"Meningitis cryptococcica"
"DB452";"Cryptococcosis cutanea"
"DB453";"Cryptococcosis ossis"
"DB457";"Cryptococcosis disseminata"
"DB458";"Cryptococcosis m anden lokalisation"
"DB459";"Cryptococcosis uden specifikation"
"DB46";"Zygomykose"
"DB469";"Zygomykose"
"DB469A";"Mucormycosis"
"DB469B";"Phycomycosis"
"DB469C";"Zygomycosis"
"DB47";"Madurafod"
"DB470";"Eumycetoma"
"DB471";"Actinomycetoma"
"DB479";"Mycetoma uden specifikation"
"DB48";"Mykoser, andre ikke klassificeret andetsteds"
"DB480";"Lobomycosis"
"DB481";"Rhinosporidiosis"
"DB482";"Allescheriasis"
"DB483";"Geotrichosis"
"DB484";"Penicillosis"
"DB487";"Mycosis opportunistica"
"DB488";"Mycoses aliae specificatae"
"DB49";"Mykose uden specifikation"
"DB499";"Mycosis uden specifikation"
"DB499A";"Fungæmi"
"DB50";"Plasmodium falciparum malaria"
"DB509";"Malaria per Plasmodium falciparum uden specifikation"
"DB51";"Plasmodium vivax malaria"
"DB519";"Plasmodium vivax malaria"
"DB52";"Plasmodium malariae malaria"
"DB529";"Plasmodium malariae malaria"
"DB53";"Malaria, anden parasitologisk fastslået"
"DB530";"Plasmodium ovale malaria"
"DB538";"Malaria, anden parasitologisk fastslået type ikke identif"
"DB54";"Malaria uden specifikation"
"DB549";"Malaria uden specifikation"
"DB55";"Leishmaniasis"
"DB550";"Leishmaniasis visceralis"
"DB550A";"Kala-azar"
"DB551";"Leishmaniasis cutis"
"DB552";"Leishmaniasis mucocutanea"
"DB559";"Leishmaniasis uden specifikation"
"DB56";"Afrikansk sovesyge"
"DB560";"Trypanosomiasis Gambiensis"
"DB561";"Trypanosomiasis Rhodesiensis"
"DB569";"Trypanosomiasis africana uden specifikation"
"DB57";"Chagas' sygdom"
"DB579";"Chagas' sygdom"
"DB579A";"Trypanosomiasis americana"
"DB58";"Toksoplasmose"
"DB580";"Toxoplasmosis oculi"
"DB581";"Toxoplasmosis hepatis"
"DB582";"Meningoencephalitis toxoplasmotica"
"DB582A";"Toxoplasmosis cerebri"
"DB582B";"Toxoplasmosis meningum"
"DB583";"Toxoplasmosis pulmonis"
"DB588";"Toxoplasmosis m anden lokalisation"
"DB588A";"Myocarditis toxoplasmotica"
"DB588B";"Myositis toxoplasmotica"
"DB589";"Toxoplasmosis uden specifikation"
"DB59";"Pneumocystose"
"DB599";"Pneumocystosis"
"DB60";"Sygdomme, andre forårsaget af protozoer ikke klass ansted"
"DB600";"Babesiosis"
"DB600A";"Piroplasmosis"
"DB601";"Acanthamoebiasis"
"DB601A";"Conjunctivitis, Acanthamoeba"
"DB601B";"Keratoconjunctivitis, Acanthamoeba"
"DB602";"Naegleriasis"
"DB608";"Sygdomme forårsaget af protozoer, andre specificerede"
"DB608A";"Microsporidiosis"
"DB64";"Sygdom forårsaget af protozoer uden specifikation"
"DB649";"Sygdom forårsaget af protozoer uden specifikation"
"DB65";"Schistosomiasis"
"DB650";"Schistosomiasis forårsaget af Schistosoma haematobium"
"DB651";"Schistosomiasis forårsaget af Schistosoma mansoni"
"DB652";"Schistosomiasis forårsaget af Schistosoma japonicum"
"DB656";"Dermatitis cercaria"
"DB658";"Schistosomiasis, anden"
"DB659";"Schistosomiasis uden specifikation"
"DB66";"Ikte infektion, andre"
"DB660";"Opisthorchiasis"
"DB661";"Clonorchiasis"
"DB662";"Dicrocoeliasis"
"DB663";"Fascioliasis"
"DB664";"Paragonimiasis"
"DB665";"Fasciolopsiasis"
"DB668";"Ikte infektion, andre specificerede"
"DB669";"Infectio trematodica uden specifikation"
"DB67";"Ekinokokkose"
"DB670";"Infektion m Echinococcus granulosis i lever"
"DB671";"Infektion m Echinococcus granulosus i lunger"
"DB672";"Infektion m Echinococcus granulosus i knogle"
"DB673";"Infektion m Echinococcus granul andre eller multiple lokal"
"DB674";"Infektion m Echinococcus granulosus uden specifikation"
"DB675";"Infektion m Echinococcus multilocularis i lever"
"DB676";"Infektion m Echinococcus multilocularis andre lokalisat"
"DB677";"Infektion m Echinococcus multilocularis uden specifikation"
"DB678";"Ikke specificeret ekinokokinfektion i lever"
"DB679";"Ekinokokinfektion, anden eller ikke specificeret"
"DB68";"Bændelorm"
"DB680";"Taeniasis Taenia solium"
"DB681";"Taeniasis Taenia saginata"
"DB689";"Taeniasis uden specifikation"
"DB69";"Cysticercosis"
"DB699";"Cysticercosis"
"DB70";"Diphyllobothriasis og sparganosis"
"DB700";"Diphyllobothriasis"
"DB701";"Sparganosis"
"DB71";"Bændelorme infektioner, andre"
"DB719";"Bændelormeinfektioner uden specifikation"
"DB72";"Dracunculiasis"
"DB729";"Dracunculiasis"
"DB73";"Onchocerciasis"
"DB739";"Onchocerciasis"
"DB74";"Filariasis"
"DB740";"Filariasis Wuchereria bancrofti"
"DB749";"Filariasis uden specifikation"
"DB75";"Infektion m trikiner"
"DB759";"Trichinosis"
"DB76";"Infektion m hageorm"
"DB760";"Ancylostomiasis"
"DB761";"Ancylostomiasis Necator americanus"
"DB768";"Ancylostomiasis alia"
"DB769";"Ancylostomiasis uden specifikation"
"DB769A";"Larva migrans cutanea"
"DB77";"Spolorm"
"DB770";"Ascariasis intestinalis"
"DB778";"Ascariasis m andre komplikationer"
"DB779";"Ascariasis, uden specifikation"
"DB78";"Strongyloidiasis"
"DB789";"Strongyloidiasis"
"DB79";"Piskeorm"
"DB799";"Trichuriasis"
"DB80";"Børneorm"
"DB809";"Oxyuriasis"
"DB81";"Ormesygdomme, andre i tarm ikke klassificeret andetsteds"
"DB814";"Helminthiasis mixta"
"DB818";"Helminthiasis intestini alia"
"DB82";"Infek m parasitter i tarm uden specifikation"
"DB820";"Helminthiasis intestini uden specifikation"
"DB829";"Infectio parasitaria intestini uden specifikation"
"DB83";"Ormesygdomme, andre"
"DB830";"Larva migrans visceralis"
"DB838";"Helminthiasis alia"
"DB839";"Helminthiasis uden specifikation"
"DB85";"Infektion med lus"
"DB850";"Pediculosis capitis"
"DB851";"Pediculosis corporis"
"DB852";"Pediculosis uden specifikation"
"DB853";"Pediculosis pubis"
"DB854";"Pediculosis mixta"
"DB86";"Fnat"
"DB869";"Scabies"
"DB869A";"Scabies crustosa (norvegica)"
"DB869B";"Persistent nodules (scabies)"
"DB87";"Myiasis"
"DB879";"Myiasis"
"DB88";"Sygdom, anden forårsaget af leddyr på hud"
"DB880";"Andre former for ascariasis"
"DB881";"Tungiasis"
"DB888";"Sygdom, anden forårsaget af leddyr på hud"
"DB888A";"Cheyletiella infestation"
"DB888B";"Cimicosis"
"DB888C";"Pulicosis"
"DB888D";"Demodicosis"
"DB889";"Sygdom forårsaget af leddyr på hud uden specifikation"
"DB89";"Parasitær sygdom uden specifikation"
"DB899";"Parasitær sygdom uden specifikation"
"DB899A";"Parasitæmi"
"DB90";"Tuberkulose, følger efter"
"DB900";"Tuberkulose i centralnervesystemet, følger efter"
"DB901";"Tuberkulose i urin- og kønsorganer, følger efter"
"DB902";"Tuberkulose i knogler og led, følger efter"
"DB902A";"Sequelae tuberculosis articulorum"
"DB902B";"Sequelae tuberculosis ossium"
"DB908";"Tuberkulose i andrespec organer, følger efter"
"DB909";"Tuberkulose i åndedrætsorganer og u spec, følger efter"
"DB91";"Polio, følger efter"
"DB919";"Sequelae poliomyelitidis"
"DB92";"Spedalskhed, følger efter"
"DB929";"Lepra, følger efter"
"DB94";"Infektiøse og parasitære sygdomme, andre, følger efter"
"DB940";"Trakom, følger efter"
"DB941";"Viral hjernebetændelse, følger efter"
"DB942";"Viral leverbetændelse, følger efter"
"DB948";"Infektiøse og parasitære sygdomme, følger efter"
"DB949";"Infektiøs og parasitær sygdom u spec, følger efter"
"DB95";"Strepto- og stafylokokker som årsag til sygd i andre kap"
"DB950";"Streptokokker, gruppe A, som årsag til sygd i andre kap"
